Bill Name,Summary,Representative,Committee
H. 3311,Paper ballots,Rep. Chumley,Referred to Committee on Judiciary
H. 3312,"Motor vehicles, proof of insurance",Rep. Chumley,Referred to Committee on Judiciary
H. 3313,Antique motor vehicle tags,Rep. Chumley,Referred to Committee on Education and Public Works
H. 3314,Classic cars,Rep. Collins,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3315,Municipal arrest warrants,Rep. Garvin,Referred to Committee on Judiciary
H. 3316,Unlawful dissemination of sexually explicit materials,Rep. Garvin,Referred to Committee on Judiciary
H. 3317,Dating violence prevention,Rep. Gilliard,Referred to Committee on Education and Public Works
H. 3318,Special primary runoffs,Rep. Guffey,Referred to Committee on Judiciary
H. 3319,Electioneering,Rep. Burns,Referred to Committee on Judiciary
H. 3320,Standard time,Rep. Burns,Referred to Committee on Judiciary
H. 3321,Statement of economic interest,Rep. Caskey,Referred to Committee on Judiciary
H. 3322,Tax Litigation,Rep. Chumley,Referred to Committee on Judiciary
H. 3323,Telephone Solicitation Act,Rep. Chumley,"Referred to Committee on Labor, Commerce and Industry"
H. 3324,African-American Confederate Veterans Monument,Rep. Chumley,Referred to Committee on Judiciary
H. 3325,Daylight Saving Time,Rep. Chumley,Referred to Committee on Judiciary
H. 3326,Bad faith copyright infringement,Rep. Collins,"Referred to Committee on Labor, Commerce and Industry"
H. 3327,Educational lottery scholarship grants,Rep. Collins,Referred to Committee on Ways and Means
H. 3328,Exceptional needs children's tax credit,Rep. Collins,Referred to Committee on Ways and Means
H. 3329,Sales Tax Exemption,Rep. Collins,Referred to Committee on Ways and Means
H. 3330,School district operating expenses,Rep. Collins,Referred to Committee on Education and Public Works
H. 3331,Teaching scholarship,Rep. Collins,Referred to Committee on Ways and Means
H. 3332,Statewide millage,Reps. Davis and B. J. Cox,Referred to Committee on Ways and Means
H. 3333,Tax Increment Financing,Rep. Davis,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3334,South Carolina Government Efficiency Act,Rep. Dillard,Referred to Committee on Judiciary
H. 3335,Designation of representation in magistrates court,Rep. Dillard,Referred to Committee on Judiciary
H. 3336,Housing discrimination,Rep. Dillard,Referred to Committee on Judiciary
H. 3337,Aging with Dignity Tax Credit,Rep. Dillard,Referred to Committee on Ways and Means
H. 3338,Sales tax exemption,Rep. Dillard,Referred to Committee on Ways and Means
H. 3339,Evictions,Rep. Forrest,Referred to Committee on Judiciary
H. 3340,Campsite rental fee discount,Rep. Garvin,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3341,Discrimination,Rep. Garvin,Referred to Committee on Judiciary
H. 3342,Hearing aids,Reps. Gilliam and Pope,"Referred to Committee on Labor, Commerce and Industry"
H. 3343,Chinese Land Ownership Prohibition,Reps. Gilliam and Pope,"Referred to Committee on Labor, Commerce and Industry"
H. 3344,State Infrastructure Protection Act,Rep. Gilliam,"Referred to Committee on Labor, Commerce and Industry"
H. 3345,South Carolina Mentoring Day,Rep. Gilliard,Referred to Committee on Judiciary
H. 3346,South Carolina Rent Control Act,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3347,Public housing,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3348,Studen Loan Forgiveness,Rep. Gilliard,Referred to Committee on Ways and Means
H. 3349,Student Loan Forgiveness,Rep. Guest,Referred to Committee on Invitations and Memorial Resolutions
H. 3350,Internal dispute resolution,Rep. Guest,"Referred to Committee on Labor, Commerce and Industry"
H. 3351,Time sharing,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3352,Assessment ratios,Rep. Rutherford,Referred to Committee on Ways and Means
H. 3353,"Constitutional amendment, gambling and gaming",Rep. Rutherford,Referred to Committee on Judiciary
H. 3354,Nonprofits,Rep. Rutherford,Referred to Committee on Judiciary
H. 3355,Community charge,Rep. Rutherford,Referred to Committee on Ways and Means
H. 3356,"Constitutional amendment, sales restrictions",Rep. Gilliard,Referred to Committee on Judiciary
H. 3357,Shipping Transportation and Port Bridge Safety Study Committee,"Reps. G. M. Smith, B. Newton, Bannister and Caskey","Referred to Committee on Labor, Commerce and Industry"
H. 3358,Property tax exemption,Rep. M. M. Smith,Referred to Committee on Ways and Means
H. 3359,Admissions tax exemption,Rep. Yow,Referred to Committee on Ways and Means
H. 3360,Use tax exemptions,Rep. Pope,Referred to Committee on Ways and Means
H. 3361,Solicitor funding,Rep. Oremus,Referred to Committee on Judiciary
H. 3362,Transfer of tax credits,"Reps. B. Newton, Ligon, Pope, Sessions, Guffey and Martin",Referred to Committee on Ways and Means
H. 3363,Police Officers Retirement System,Rep. Moss,Referred to Committee on Ways and Means
H. 3364,Sales tax exemption,"Reps. McCravy, Gilliam, Burns, Chumley, Willis, Vaughan, T. Moore and M. M. Smith",Referred to Committee on Ways and Means
H. 3365,Eliminate the Marriage Tax Penalty Act,Rep. Long,Referred to Committee on Ways and Means
H. 3366,Prohibition of incentives,Rep. Long,Referred to Committee on Judiciary
H. 3367,Roll back taxes,Rep. Long,Referred to Committee on Ways and Means
H. 3368,Income tax on overtime pay,Rep. Kilmartin,Referred to Committee on Ways and Means
H. 3369,Government electronic devices,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3370,Gullah,Rep. Hixon,Referred to Committee on Judiciary
H. 3371,Admissions tax exemption,Rep. Hixon,Referred to Committee on Ways and Means
H. 3372,Retail sales,Rep. Hixon,Referred to Committee on Ways and Means
H. 3373,Rural Infrastructure Authority,Rep. Hardee,Referred to Committee on Ways and Means
H. 3374,Homestead exemption,Rep. Guffey,Referred to Committee on Ways and Means
H. 3375,Government electronic devices,Rep. Gilliam,Referred to Committee on Judiciary
H. 3376,Education Capital Improvements Sales and Use Tax,Rep. Garvin,Referred to Committee on Ways and Means
H. 3377,Medicaid expansion,Reps. Burns and Chumley,Referred to Committee on Judiciary
H. 3378,Property tax exemption,Rep. Burns,Referred to Committee on Ways and Means
H. 3379,Nonprofit sales tax exemption,Rep. Burns,Referred to Committee on Ways and Means
H. 3380,Homestead exemption,Rep. Beach,Referred to Committee on Ways and Means
H. 3381,Defense of Children's Innocence Act,Rep. Beach,Referred to Committee on Judiciary
H. 3382,Durable medical equipment exemption,Rep. Ballentine,Referred to Committee on Ways and Means
H. 3383,Permanent improvement projects,Rep. J. L. Johnson,Referred to Committee on Ways and Means
H. 3384,"Dumping litter, penalty increase",Rep. Wooten,Referred to Committee on Judiciary
H. 3385,Inmate work camps,Rep. Taylor,Referred to Committee on Judiciary
H. 3386,Ranked Choice Voting Ban,Reps. G. M. Smith and W. Newton,Referred to Committee on Judiciary
H. 3387,Unlawful occupants of property,Rep. Rutherford,Referred to Committee on Judiciary
H. 3388,Drug offense classifications,Rep. Rutherford,Referred to Committee on Judiciary
H. 3389,Immunity from criminal prosecution,Rep. Pope,Referred to Committee on Judiciary
H. 3390,Homicide by child abuse,Rep. Oremus,Referred to Committee on Judiciary
H. 3391,Aggravated involuntary manslaughter by controlled substance,Rep. Moss,Referred to Committee on Judiciary
H. 3392,Assault and battery on healthcare workers,Rep. Moss,Referred to Committee on Judiciary
H. 3393,"Littering, civil offense",Rep. T. Moore,Referred to Committee on Judiciary
H. 3394,Homicide by child abuse,Rep. Long,Referred to Committee on Judiciary
H. 3395,"Convention of the states, rescind",Rep. Long,Referred to Committee on Judiciary
H. 3396,Primaries,Rep. Gilliard,Referred to Committee on Judiciary
H. 3397,Tenant property,Rep. King,"Referred to Committee on Labor, Commerce and Industry"
H. 3398,Qualifications to register to vote,Rep. Guffey,Referred to Committee on Judiciary
H. 3399,Children's Default to Safety Act,Rep. Guffey,Referred to Committee on Judiciary
H. 3400,Child Data Privacy and Protection Act,Reps. Guffey and Pope,Referred to Committee on Judiciary
H. 3401,Technology Transparency,Rep. Guffey,Referred to Committee on Judiciary
H. 3402,Age-Appropriate Design,Rep. Guffey,"Referred to Committee on Labor, Commerce and Industry"
H. 3403,Political signs,Rep. Guffey,Referred to Committee on Judiciary
H. 3404,"Ensuring Likeness, Voice, and Image Security Act",Rep. Guffey,Referred to Committee on Judiciary
H. 3405,App Store Accountability Act,Rep. Guffey,"Referred to Committee on Labor, Commerce and Industry"
H. 3406,Online technological exploitation,Rep. Haddon,Referred to Committee on Judiciary
H. 3407,Food and Beverage Labels,"Reps. Haddon, Forrest, Gilliam, Ligon and Taylor","Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3408,Foreign ownership of real estate,Rep. Haddon,Referred to Committee on Judiciary
H. 3409,Conservation tax credit,Rep. Hardee,Referred to Committee on Ways and Means
H. 3410,Property tax exemption,Rep. J. E. Johnson,Referred to Committee on Ways and Means
H. 3411,Evidence of receipt,Rep. J. L. Johnson,Referred to Committee on Ways and Means
H. 3412,Joint Committee on Women's Repoductive Rights,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3413,Student Loan Interest Duration,Rep. J. L. Johnson,"Referred to Committee on Labor, Commerce and Industry"
H. 3414,Indigenous Peoples' Day,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3415,Sarah Mae Flemming Day,Rep. Kilmartin,Referred to Committee on Judiciary
H. 3416,Income tax deduction,Rep. Kilmartin,Referred to Committee on Ways and Means
H. 3417,Income tax deduction,Rep. Landing,Referred to Committee on Ways and Means
H. 3418,Removal of unauthorized perons,Rep. Long,Referred to Committee on Judiciary
H. 3419,Homestead exemption,Rep. Long,Referred to Committee on Ways and Means
H. 3420,Providing Academic Choice in Education (PACE),Rep. Long,Referred to Committee on Ways and Means
H. 3421,Public Employee Retirement Fund Investments,Rep. Long,Referred to Committee on Ways and Means
H. 3422,Real estate trust accounts,"Reps. McCravy, Gilliam, Vaughan, Burns, Chumley, T. Moore, M. M. Smith and Willis",Referred to Committee on Judiciary
H. 3423,South Carolina Emergency Fuel Supply Act,"Reps. McCravy, Gilliam, Burns, Chumley, Willis, Vaughan, T. Moore and M. M. Smith","Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3424,Property tax relief for seniors,Rep. McDaniel,Referred to Committee on Ways and Means
H. 3425,HOA,Rep. McDaniel,"Referred to Committee on Labor, Commerce and Industry"
H. 3426,State Housing Finance and Development Authority,Rep. Moss,Referred to Committee on Ways and Means
H. 3427,Homestead exemption,Rep. Moss,Referred to Committee on Ways and Means
H. 3428,Resident vendor preferences,Reps. B. Newton and Caskey,Referred to Committee on Ways and Means
H. 3429,Alternative Fuel Tax Credit,"Reps. B. Newton, Murphy and Caskey",Referred to Committee on Ways and Means
H. 3430,State Auditor,Rep. W. Newton,Referred to Committee on Judiciary
H. 3431,South Carolina Social Media Regulation Act,Rep. W. Newton,Referred to Committee on Judiciary
H. 3432,Grantor Trust Reimbursement,Rep. Oremus,Referred to Committee on Judiciary
H. 3433,Equality in Financial Services Act,Rep. Oremus,"Referred to Committee on Labor, Commerce and Industry"
H. 3434,Earnings limitation,Rep. Pace,Referred to Committee on Ways and Means
H. 3435,Income tax exemption,Rep. Pace,Referred to Committee on Ways and Means
H. 3436,Taxation,"Reps. Pope, Guffey and Gilliam",Referred to Committee on Ways and Means
H. 3437,Earnings Limitation,Rep. Pope,Referred to Committee on Ways and Means
H. 3438,Catawba Indian Expansion,Rep. Collins,Referred to Committee on Judiciary
H. 3439,Blue Origin Flight Lottery Commission,Rep. Collins,Referred to Committee on Ways and Means
H. 3440,Stand Your Ground and Churches,Rep. Yow,Referred to Committee on Judiciary
H. 3441,Veterans' Affairs officers,Rep. Taylor,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3442,Central Bank Digital Currency ban,Rep. Taylor,Referred to Committee on Judiciary
H. 3443,Grant reporting requirements,Rep. Rutherford,Referred to Committee on Ways and Means
H. 3444,Juneteenth-State Holiday,Rep. Rutherford,Referred to Committee on Judiciary
H. 3445,Assessment ratios,Rep. M. M. Smith,Referred to Committee on Ways and Means
H. 3446,Use of state park facilities,Rep. Rutherford,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3447,Homeowners Association Authority,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3448,Landlord prohibition,Rep. Rutherford,Referred to Committee on Judiciary
H. 3449,Ticket resales,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3450,Alcohol sales,Rep. Rutherford,Referred to Committee on Judiciary
H. 3451,Alcohol purchase age,Rep. Rutherford,Referred to Committee on Judiciary
H. 3452,"Liquor sales, certain days",Rep. Rose,Referred to Committee on Judiciary
H. 3453,Veterans' Children Tuition Assistance,Rep. Caskey,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3454,UCC,Rep. Collins,Referred to Committee on Judiciary
H. 3455,School Boards,Rep. Collins,Referred to Committee on Education and Public Works
H. 3456,Abolish State Board of Education,"Reps. McCravy, G. M. Smith, Hiott, Bailey, Burns, Chumley, B. J. Cox, Edgerton, Gibson, Gilliam, Haddon, Hager, Hayes, Herbkersman, J. E. Johnson, Jordan, Lawson, Ligon, Long, McCabe, Oremus, Pace, Pope, M. M. Smith, Vaughan, White, Willis and Yow",Referred to Committee on Judiciary
H. 3457,Human Life Protection Act,Rep. Jones,Referred to Committee on Judiciary
H. 3458,Religious Institutions Affordable Housing Act,Rep. W. Newton,Referred to Committee on Ways and Means
H. 3459,Voter registration,"Reps. Wooten, Wetmore, Bernstein, Erickson, Neese, Sessions and Guffey",Referred to Committee on Judiciary
H. 3460,Electronic records,Rep. Lawson,Referred to Committee on Judiciary
H. 3461,Income tax exemption,Rep. Jones,Referred to Committee on Ways and Means
H. 3462,Rental housing,Rep. Lawson,"Referred to Committee on Labor, Commerce and Industry"
H. 3463,Property tax exemption,Rep. Bowers,Referred to Committee on Ways and Means
H. 3464,Income tax credit,Rep. Jones,Referred to Committee on Ways and Means
H. 3465,Food desert tax credit,Rep. Jones,Referred to Committee on Ways and Means
H. 3466,Income tax credit,Rep. Jones,Referred to Committee on Ways and Means
H. 3467,School district surplus land,Rep. Jones,Referred to Committee on Ways and Means
H. 3468,Lottery scholarships,Rep. Jones,Referred to Committee on Ways and Means
H. 3469,Accessory Dwelling Unit Affordable Housing Incentive Act,Rep. Collins,Referred to Committee on Ways and Means
H. 3470,School District Consolidation,"Reps. Guffey, G. M. Smith, W. Newton and Bradley",Referred to Committee on Education and Public Works
H. 3471,"Sexual exploitation of minors, morphed child pornography",Rep. McCabe,Referred to Committee on Judiciary
H. 3472,Small Estates,Rep. McCabe,Referred to Committee on Judiciary
H. 3473,Land Disturbing Exemptions from Stormwater Management and Sediment Reduction Act,Rep. Stavrinakis,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3474,Transportation Network Companies,Rep. Stavrinakis,"Referred to Committee on Labor, Commerce and Industry"
H. 3475,Lobbyist Reports and Prohibited Financial Gains and Contributions,Rep. Beach,Referred to Committee on Judiciary
H. 3476,Higher education accrediting agencies,"Reps. Caskey, Bannister, G. M. Smith, B. Newton, Hewitt and Long",Referred to Committee on Education and Public Works
H. 3477,Maximum potential employment benefits,Rep. Garvin,Referred to Committee on Ways and Means
H. 3478,Mental Health in Schools Act,Rep. Garvin,Referred to Committee on Education and Public Works
H. 3479,Skills-Based Hiring Act,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3480,Healthcare Workplace Security Act,Rep. McDaniel,Referred to Committee on Judiciary
H. 3481,Off-site cosmetology services,Rep. McDaniel,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3482,School harassment and bullying reporting,Rep. McDaniel,Referred to Committee on Education and Public Works
H. 3483,Blow-dry styling services,Rep. McDaniel,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3484,Hair braiders and makeup artists,Rep. McDaniel,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3485,School district audits,Rep. McDaniel,Referred to Committee on Judiciary
H. 3486,Student and Administration Equality Act,Rep. Stavrinakis,Referred to Committee on Education and Public Works
H. 3487,Department of Insurance governance,Rep. Stavrinakis,Referred to Committee on Judiciary
H. 3488,Impact of alcohol or drug related misdemeanors on state scholarships,Rep. Ballentine,Referred to Committee on Education and Public Works
H. 3489,IRC conformity,Reps. Bernstein and Stavrinakis,Referred to Committee on Ways and Means
H. 3490,Paid family leave,Rep. Cobb-Hunter,Referred to Committee on Ways and Means
H. 3491,Constitutional amendment,Rep. Cobb-Hunter,Referred to Committee on Judiciary
H. 3492,Earned income tax credit,Rep. Jones,Referred to Committee on Ways and Means
H. 3493,Tax credit,Rep. McDaniel,Referred to Committee on Ways and Means
H. 3494,Foreclosure,Rep. McDaniel,Referred to Committee on Judiciary
H. 3495,Inspector General,Rep. McDaniel,Referred to Committee on Judiciary
H. 3496,Property Tax,Rep. W. Newton,Referred to Committee on Ways and Means
H. 3497,Liquor liability,Rep. Pace,Referred to Committee on Judiciary
H. 3498,Income tax brackets,Rep. Pace,Referred to Committee on Ways and Means
H. 3499,Constitutional amendment,Rep. Rutherford,Referred to Committee on Ways and Means
H. 3500,IRA deduction,Rep. Stavrinakis,Referred to Committee on Ways and Means
H. 3501,Equality of rights; US Constitution,"Reps. Bannister, Rutherford, Caskey, Erickson, Weeks and Davis",Referred to Committee on Judiciary
H. 3502,Department of Social Services,Rep. Bustos,Referred to Committee on Judiciary
H. 3503,Solid Waste Management and Mining,Rep. Edgerton,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3504,Pregnancy CARE Act,Rep. Edgerton,Referred to Committee on Judiciary
H. 3505,Visitation,Rep. T. Moore,Referred to Committee on Judiciary
H. 3506,Human Biological Sexes,Rep. Stavrinakis,Referred to Committee on Judiciary
H. 3507,Constitutional Amendment,"Reps. Brewer, Murphy and Robbins",Referred to Committee on Judiciary
H. 3508,Lodging Accommodations Ejectment,Rep. Chumley,Referred to Committee on Judiciary
H. 3509,Ejections,Rep. Gilliam,Referred to Committee on Judiciary
H. 3510,County Veterans' Affairs officers,Reps. Pope and Robbins,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3511,Homestead Exemption,Rep. Stavrinakis,Referred to Committee on Ways and Means
H. 3512,South Carolina State Employee Equal Pay for Equal Work,Rep. Stavrinakis,Referred to Committee on Ways and Means
H. 3513,Hospitality tax,Rep. Wooten,Referred to Committee on Ways and Means
H. 3514,Flags,Rep. Beach,Referred to Committee on Ways and Means
H. 3515,"Voter registration, DMV transactions",Rep. Burns,Referred to Committee on Education and Public Works
H. 3516,"Motor vehicles, newly acquired and tagless",Rep. J. L. Johnson,Referred to Committee on Education and Public Works
H. 3517,Deceptive and fraudulent deepfake media in elections,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3518,Election Official Protection Act,Rep. Pope,Referred to Committee on Judiciary
H. 3519,"Search warrants, electronic data",Rep. Bustos,Referred to Committee on Judiciary
H. 3520,SC Street Gang and Criminal Enterprise Prevention and Anti-Racketeering Act,Reps. Caskey and Calhoon,Referred to Committee on Judiciary
H. 3521,"Family Court Judges, additional","Reps. Caskey, Pope and Gilliam",Referred to Committee on Judiciary
H. 3522,Strangulation,Reps. J. E. Johnson and W. Newton,Referred to Committee on Judiciary
H. 3523,Organized Retail Crime,Rep. J. E. Johnson,Referred to Committee on Judiciary
H. 3524,"Department of Crime Victim Services Training, Provider Certification, and Statistical Analysis",Rep. J. E. Johnson,Referred to Committee on Judiciary
H. 3525,Victims' Services and Compensation,Rep. Magnuson,Referred to Committee on Judiciary
H. 3526,Judicial Election Reform,"Reps. Magnuson, Pace and Cromer",Referred to Committee on Judiciary
H. 3527,"House Rules, thirty or more sponsors of legislation","Reps. Magnuson, Pace and Cromer",Referred to Committee on Rules
H. 3528,"House Rules, placement of bills on House Calendar","Reps. W. Newton, Bannister and Caskey",Referred to Committee on Rules
H. 3529,"Family Court Judges, additional",Reps. W. Newton and Pope,Referred to Committee on Judiciary
H. 3530,Magistrates' Reform Act,Reps. Pope and Gilliam,Referred to Committee on Judiciary
H. 3531,911 Call Abuse,Reps. Pope and Gilliam,Referred to Committee on Judiciary
H. 3532,Terrorism,Reps. Pope and Gilliam,Referred to Committee on Judiciary
H. 3533,Assault and Battery of certain public servants,Rep. M. M. Smith,Referred to Committee on Judiciary
H. 3534,Contribution Among Tortfeasors,"Reps. Wooten, Pope, Hixon, Gilliam, Robbins and Bailey",Referred to Committee on Judiciary
H. 3535,Helping Alleviate Lawful Obstruction (HALO) Act,Rep. Taylor,Referred to Committee on Judiciary
H. 3536,South Carolina Hands Free Act,"Reps. Harris, Magnuson, Chumley, Burns, Long and Kilmartin",Referred to Committee on Judiciary
H. 3537,South Carolina Prenatal Equal Protection Act,Rep. Williams,Referred to Committee on Judiciary
H. 3538,Controlled Substances,Rep. Williams,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3539,Uninsured Patient Fees,Rep. Williams,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3540,Income tax credit,Rep. Williams,Referred to Committee on Ways and Means
H. 3541,Retail motor fuel outlets,Rep. Williams,"Referred to Committee on Labor, Commerce and Industry"
H. 3542,SCRS and PORS earnings limitation,Rep. Williams,Referred to Committee on Ways and Means
H. 3543,Public restrooms,Rep. Williams,"Referred to Committee on Labor, Commerce and Industry"
H. 3544,General Assembly Members and Governmental Athletic Clubs and Gyms,Rep. Williams,Referred to Committee on Judiciary
H. 3545,Train Operations in a Municipality,Rep. Williams,"Referred to Committee on Labor, Commerce and Industry"
H. 3546,"Utilities - Delinquent, Late, and Unpaid Balances",Rep. Cobb-Hunter,"Referred to Committee on Labor, Commerce and Industry"
H. 3547,Civics course required for middle schools,Rep. Williams,Referred to Committee on Education and Public Works
H. 3548,Assault and Battery of a High and Aggravated Nature,Rep. Williams,Referred to Committee on Judiciary
H. 3549,"Pretrial Intervention, limits removed",Rep. Williams,Referred to Committee on Judiciary
H. 3550,Use of mounted red lights on wreckers,Reps. B. Newton and Gilliam,Referred to Committee on Education and Public Works
H. 3551,Poll Worker Pay,Rep. B. Newton,Referred to Committee on Ways and Means
H. 3552,Abolish runoff elections,Reps. B. Newton and Wetmore,Referred to Committee on Judiciary
H. 3553,County Election Directors State Supplement,Rep. B. Newton,Referred to Committee on Ways and Means
H. 3554,Campaign Contribution Limits,Rep. B. Newton,Referred to Committee on Judiciary
H. 3555,School Bond Election Dates,Rep. B. Newton,Referred to Committee on Judiciary
H. 3556,Political parties and primaries,Rep. B. Newton,Referred to Committee on Judiciary
H. 3557,Candidate filing,Rep. Taylor,Referred to Committee on Judiciary
H. 3558,Commissioners to Article V Convention,Rep. Williams,Referred to Committee on Judiciary
H. 3559,Inmate wages,"Reps. Brewer, Murphy and Robbins",Referred to Committee on Judiciary
H. 3560,Department of Transportation,Reps. Pope and Gilliam,Referred to Committee on Education and Public Works
H. 3561,Authorized emergency vehicles,Rep. Collins,Referred to Committee on Education and Public Works
H. 3562,Public Education and Parental Involvement,,Referred to Committee on Education and Public Works
