Bill Name,Summary,Representative,Committee
H. 3304,Transparency and Integrity in Education Act,Rep. W. Newton,"Referred to Committee on Labor, Commerce and Industry"
H. 3305,Student Athletes,Rep. Rutherford,Referred to Committee on Judiciary
H. 3306,Criminal convictions on employment applications,Rep. Rutherford,Referred to Committee on Judiciary
H. 3307,Center for Behavioral Health,Rep. Beach,"Referred to Committee on Labor, Commerce and Industry"
H. 3308,School psychologists,"Reps. G. M. Smith, Gatch, Herbkersman and Pope","Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3309,Seizure Safe Schools Act,Rep. Burns,"Referred to Committee on Labor, Commerce and Industry"
H. 3310,Social Work Interstate Compact Act,Rep. Burns,Referred to Committee on Judiciary
H. 3311,Teacher Certificate Renewals,Rep. Chumley,Referred to Committee on Judiciary
H. 3312,Child Food and Nutrition Services Study Committee,Rep. Chumley,Referred to Committee on Judiciary
H. 3313,Florence County Register of Deeds,Rep. Chumley,Referred to Committee on Education and Public Works
H. 3314,Resource officers,Rep. Collins,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3315,College Financial Aid and Education Act,Rep. Garvin,Referred to Committee on Judiciary
H. 3316,Unlawful employment practices,Rep. Garvin,Referred to Committee on Judiciary
H. 3317,School start dates,Rep. Gilliard,Referred to Committee on Education and Public Works
H. 3318,School audits,Rep. Guffey,Referred to Committee on Judiciary
H. 3319,Scholarships,Rep. Burns,Referred to Committee on Judiciary
H. 3320,Matriculation and incidental fees,Rep. Burns,Referred to Committee on Judiciary
H. 3321,Legislative Audit Council,Rep. Caskey,Referred to Committee on Judiciary
H. 3322,College tution rates,Rep. Chumley,Referred to Committee on Judiciary
H. 3323,School lunches,Rep. Chumley,"Referred to Committee on Labor, Commerce and Industry"
H. 3324,First Steps Board and Advisory Council,Rep. Chumley,Referred to Committee on Judiciary
H. 3325,In-State college tuition rates to out-of-state students,Rep. Chumley,Referred to Committee on Judiciary
H. 3326,Dual enrollment,Rep. Collins,"Referred to Committee on Labor, Commerce and Industry"
H. 3327,FOIA violation penalties,Rep. Collins,Referred to Committee on Ways and Means
H. 3328,Private investigators,Rep. Collins,Referred to Committee on Ways and Means
H. 3329,Dental specialties needing special licensure,Rep. Collins,Referred to Committee on Ways and Means
H. 3330,College tuition for nonresidents,Rep. Collins,Referred to Committee on Education and Public Works
H. 3331,Ban the Box Act,Rep. Collins,Referred to Committee on Ways and Means
H. 3332,Noncompete covenants,Reps. Davis and B. J. Cox,Referred to Committee on Ways and Means
H. 3333,Lottery Commission,Rep. Davis,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3334,Swimming pool installers,Rep. Dillard,Referred to Committee on Judiciary
H. 3335,Alcohol or drug related misdemeanor offenses,Rep. Dillard,Referred to Committee on Judiciary
H. 3336,Reporting school-related crimes to Attorney General,Rep. Dillard,Referred to Committee on Judiciary
H. 3337,Sick leave,Rep. Dillard,Referred to Committee on Ways and Means
H. 3338,Ethical Policing Transparency & Accountability,Rep. Dillard,Referred to Committee on Ways and Means
H. 3339,Ethical Policing Transparency & Accountability,Rep. Forrest,Referred to Committee on Judiciary
H. 3340,Missing person alerts,Rep. Garvin,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3341,Firearms,Rep. Garvin,Referred to Committee on Judiciary
H. 3342,PTSD special license plates,Reps. Gilliam and Pope,"Referred to Committee on Labor, Commerce and Industry"
H. 3343,Early release of inmates,Reps. Gilliam and Pope,"Referred to Committee on Labor, Commerce and Industry"
H. 3344,Driver's license,Rep. Gilliam,"Referred to Committee on Labor, Commerce and Industry"
H. 3345,Statewide telecommunications system,Rep. Gilliard,Referred to Committee on Judiciary
H. 3346,Require Law Enforcement agencies to employ or contract with mental health professionals,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3347,Requesting body-worn camera data,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3348,Reckless driving with great bodily injury,Rep. Gilliard,Referred to Committee on Ways and Means
H. 3349,Votor registration,Rep. Guest,Referred to Committee on Invitations and Memorial Resolutions
H. 3350,Sex offenders,Rep. Guest,"Referred to Committee on Labor, Commerce and Industry"
H. 3351,Felons Reentering Workforce Study Committee,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3352,Law enforcement officers,Rep. Rutherford,Referred to Committee on Ways and Means
H. 3353,Law enforcement officers,Rep. Rutherford,Referred to Committee on Judiciary
H. 3354,Concealed weapons,Rep. Rutherford,Referred to Committee on Judiciary
H. 3355,Towing trucks with fifth-wheel assembly,Rep. Rutherford,Referred to Committee on Ways and Means
H. 3356,SLED hate crimes database,Rep. Gilliard,Referred to Committee on Judiciary
H. 3357,Sheriff Williford Faile Memorial Intersection,"Reps. G. M. Smith, B. Newton, Bannister and Caskey","Referred to Committee on Labor, Commerce and Industry"
H. 3358,Golf carts,Rep. M. M. Smith,Referred to Committee on Ways and Means
H. 3359,Utility terrain vehicle,Rep. Yow,Referred to Committee on Ways and Means
H. 3360,Center for School Safety and Targeted Violence,Rep. Pope,Referred to Committee on Ways and Means
H. 3361,SC Department of Law Enforcement and Public Safety; created,Rep. Oremus,Referred to Committee on Judiciary
H. 3362,"Driver's license, surrendered","Reps. B. Newton, Ligon, Pope, Sessions, Guffey and Martin",Referred to Committee on Ways and Means
H. 3363,Sex offenders,Rep. Moss,Referred to Committee on Ways and Means
H. 3364,"Speed limits, minimums","Reps. McCravy, Gilliam, Burns, Chumley, Willis, Vaughan, T. Moore and M. M. Smith",Referred to Committee on Ways and Means
H. 3365,"Warrant, execution",Rep. Long,Referred to Committee on Ways and Means
H. 3366,Penalties for driving offenses,Rep. Long,Referred to Committee on Judiciary
H. 3367,Inmate monthly in-person meetings,Rep. Long,Referred to Committee on Ways and Means
H. 3368,Inmate legal counsel access,Rep. Kilmartin,Referred to Committee on Ways and Means
H. 3369,Limiting public access to certain information during a hearing,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3370,Inmate telephonic communications,Rep. Hixon,Referred to Committee on Judiciary
H. 3371,Suspended license,Rep. Hixon,Referred to Committee on Ways and Means
H. 3372,Motor vehicle offenses decriminalized,Rep. Hixon,Referred to Committee on Ways and Means
H. 3373,"License plate, display",Rep. Hardee,Referred to Committee on Ways and Means
H. 3374,Automatic license plate readers,Rep. Guffey,Referred to Committee on Ways and Means
H. 3375,"Registration plate, illumination",Rep. Gilliam,Referred to Committee on Judiciary
H. 3376,Conditional release,Rep. Garvin,Referred to Committee on Ways and Means
H. 3377,"Special license plate, Sons of Confederate veterans",Reps. Burns and Chumley,Referred to Committee on Judiciary
H. 3378,Prisoners,Rep. Burns,Referred to Committee on Ways and Means
H. 3379,Texting while driving,Rep. Burns,Referred to Committee on Ways and Means
H. 3380,Juvenile sex offenders,Rep. Beach,Referred to Committee on Ways and Means
H. 3381,Pardons,Rep. Beach,Referred to Committee on Judiciary
H. 3382,Information collected by officers during traffic stop when not cited or arrested,Rep. Ballentine,Referred to Committee on Ways and Means
H. 3383,Custodial arrest,Rep. J. L. Johnson,Referred to Committee on Ways and Means
H. 3384,Sunscreen devices,Rep. Wooten,Referred to Committee on Judiciary
H. 3385,Speedometer,Rep. Taylor,Referred to Committee on Judiciary
H. 3386,Test for marijuana may not be performed during urinalysis or blood test on probationer,Reps. G. M. Smith and W. Newton,Referred to Committee on Judiciary
H. 3387,Restitution,Rep. Rutherford,Referred to Committee on Judiciary
H. 3388,Driver's license,Rep. Rutherford,Referred to Committee on Judiciary
H. 3389,Law enforcement,Rep. Pope,Referred to Committee on Judiciary
H. 3390,Law enforcement,Rep. Oremus,Referred to Committee on Judiciary
H. 3391,"Parole, pardon, and clemency hearings",Rep. Moss,Referred to Committee on Judiciary
H. 3392,Deputy Sheriff Jeremy C. LaDue Memorial Intersection,Rep. Moss,Referred to Committee on Judiciary
H. 3393,Firearms,Rep. T. Moore,Referred to Committee on Judiciary
H. 3394,South Carolina Hands Free Act,Rep. Long,Referred to Committee on Judiciary
H. 3395,Salvage and rebuilt vehicle certificate of title with safety features,Rep. Long,Referred to Committee on Judiciary
H. 3396,Lewis Boone Memorial Intersection,Rep. Gilliard,Referred to Committee on Judiciary
H. 3397,Toney and Thelma Slater Memorial Bridge,Rep. King,"Referred to Committee on Labor, Commerce and Industry"
H. 3398,In Memory of the Honorable David Addison,Rep. Guffey,Referred to Committee on Judiciary
H. 3399,WA Berry Memorial Intersection,Rep. Guffey,Referred to Committee on Judiciary
H. 3400,In Memory of Sgt. Nikkos L Newman,Reps. Guffey and Pope,Referred to Committee on Judiciary
H. 3401,Law enforcement-in-car video cameras,Rep. Guffey,Referred to Committee on Judiciary
H. 3402,Law enforcement officer loan forgiveness,Rep. Guffey,"Referred to Committee on Labor, Commerce and Industry"
H. 3403,Supervised furlough,Rep. Guffey,Referred to Committee on Judiciary
H. 3404,"Probation, Parole and Pardon Services",Rep. Guffey,Referred to Committee on Judiciary
H. 3405,Sex offender electronic monitoring,Rep. Guffey,"Referred to Committee on Labor, Commerce and Industry"
H. 3406,"Department of Probation, Parole, and Pardon Services Restitution Center Program",Rep. Haddon,Referred to Committee on Judiciary
H. 3407,"Law enforcement officers, retired ID issuance","Reps. Haddon, Forrest, Gilliam, Ligon and Taylor","Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3408,Law enforcement officers,Rep. Haddon,Referred to Committee on Judiciary
H. 3409,Utility terrain vehicles,Rep. Hardee,Referred to Committee on Ways and Means
H. 3410,Unfair trade practices,Rep. J. E. Johnson,Referred to Committee on Ways and Means
H. 3411,Elevating or lowering motor vehicles,Rep. J. L. Johnson,Referred to Committee on Ways and Means
H. 3412,Firearms,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3413,Law Enforcement,Rep. J. L. Johnson,"Referred to Committee on Labor, Commerce and Industry"
H. 3414,"Elevating or lowering, motor vehicles",Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3415,African-American Confederate Veterans Monument,Rep. Kilmartin,Referred to Committee on Judiciary
H. 3416,Income tax exemption,Rep. Kilmartin,Referred to Committee on Ways and Means
H. 3417,Sales Tax on Accommodations,Rep. Landing,Referred to Committee on Ways and Means
H. 3418,Joint Committee on Women's Reproductive Rights,Rep. Long,Referred to Committee on Judiciary
H. 3419,Student Loan Interest Duration,Rep. Long,Referred to Committee on Ways and Means
H. 3420,Basic universal income,Rep. Long,Referred to Committee on Ways and Means
H. 3421,Income tax exemption,Rep. Long,Referred to Committee on Ways and Means
H. 3422,Providing Academic Choice in Education (PACE),"Reps. McCravy, Gilliam, Vaughan, Burns, Chumley, T. Moore, M. M. Smith and Willis",Referred to Committee on Judiciary
H. 3423,Homestead exemption,"Reps. McCravy, Gilliam, Burns, Chumley, Willis, Vaughan, T. Moore and M. M. Smith","Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3424,Child Online Safety Act,Rep. McDaniel,Referred to Committee on Ways and Means
H. 3425,PORS Earnings Limitations,Rep. McDaniel,"Referred to Committee on Labor, Commerce and Industry"
H. 3426,Child Online Safety Act,Rep. Moss,Referred to Committee on Ways and Means
H. 3427,Ticket Resales,Rep. Moss,Referred to Committee on Ways and Means
H. 3428,Equal Pay,Reps. B. Newton and Caskey,Referred to Committee on Ways and Means
H. 3429,Paid family leave,"Reps. B. Newton, Murphy and Caskey",Referred to Committee on Ways and Means
H. 3430,School board members,Rep. W. Newton,Referred to Committee on Judiciary
H. 3431,Agriculture,Rep. W. Newton,Referred to Committee on Judiciary
H. 3432,Agriculture,Rep. Oremus,Referred to Committee on Judiciary
H. 3433,"Saltwater privileges, suspension",Rep. Oremus,"Referred to Committee on Labor, Commerce and Industry"
H. 3434,Pesticides,Rep. Pace,Referred to Committee on Ways and Means
H. 3435,Legal holidays,Rep. Pace,Referred to Committee on Ways and Means
H. 3436,Legal holiday,"Reps. Pope, Guffey and Gilliam",Referred to Committee on Ways and Means
H. 3437,Legal holidays,Rep. Pope,Referred to Committee on Ways and Means
H. 3438,Agriculture,Rep. Collins,Referred to Committee on Judiciary
H. 3439,School Boards,Rep. Collins,Referred to Committee on Ways and Means
H. 3440,Abolish State Board of Education - Constitutional Amendment,Rep. Yow,Referred to Committee on Judiciary
H. 3441,Public Education and Parental Involvement,Rep. Taylor,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3442,Stand Your Ground and Churches,Rep. Taylor,Referred to Committee on Judiciary
H. 3443,Address Confidentiality Program,Rep. Rutherford,Referred to Committee on Ways and Means
H. 3444,Term Limits for Members of the General Assembly,Rep. Rutherford,Referred to Committee on Judiciary
H. 3445,"Judicial Office, family members of the General Assembly",Rep. M. M. Smith,Referred to Committee on Ways and Means
H. 3446,"House Rules, timeframes for speakers",Rep. Rutherford,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3447,Judicial Merit Selection Commission,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3448,Government electronic devices,Rep. Rutherford,Referred to Committee on Judiciary
H. 3449,Homestead exemption,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3450,Income tax on overtime pay,Rep. Rutherford,Referred to Committee on Judiciary
H. 3451,"Department of Transportation, poles",Rep. Rutherford,Referred to Committee on Judiciary
H. 3452,Celebrate Freedom Week,Rep. Rose,Referred to Committee on Judiciary
H. 3453,Public School-Based Canneries Pilot Program,Rep. Caskey,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3454,Student Bullying Advisory Councils,Rep. Collins,Referred to Committee on Judiciary
H. 3455,Student academic progress and retention,Rep. Collins,Referred to Committee on Education and Public Works
H. 3456,Teacher and State Superintendent Credentials,"Reps. McCravy, G. M. Smith, Hiott, Bailey, Burns, Chumley, B. J. Cox, Edgerton, Gibson, Gilliam, Haddon, Hager, Hayes, Herbkersman, J. E. Johnson, Jordan, Lawson, Ligon, Long, McCabe, Oremus, Pace, Pope, M. M. Smith, Vaughan, White, Willis and Yow",Referred to Committee on Judiciary
H. 3457,State-funded scholarships extended to accelerated programs,Rep. Jones,Referred to Committee on Judiciary
H. 3458,Behavioral health services for public school students,Rep. W. Newton,Referred to Committee on Ways and Means
H. 3459,Teacher contracts,"Reps. Wooten, Wetmore, Bernstein, Erickson, Neese, Sessions and Guffey",Referred to Committee on Judiciary
H. 3460,Blue Origin Flight Lottery Commission,Rep. Lawson,Referred to Committee on Judiciary
H. 3461,Landlord Liability,Rep. Jones,Referred to Committee on Ways and Means
H. 3462,Credit Score for Employment Criteria,Rep. Lawson,"Referred to Committee on Labor, Commerce and Industry"
H. 3463,Firefighter training and employment,Rep. Bowers,Referred to Committee on Ways and Means
H. 3464,Critical race theory instruction prohibition,Rep. Jones,Referred to Committee on Ways and Means
H. 3465,FOIA Exemptions,Rep. Jones,Referred to Committee on Ways and Means
H. 3466,Academic Integrity Act,Rep. Jones,Referred to Committee on Ways and Means
H. 3467,Forming Open and Robust University Minds (FORUM) Act,Rep. Jones,Referred to Committee on Ways and Means
H. 3468,Unlawful dissemination of sexually explicit materials,Rep. Jones,Referred to Committee on Ways and Means
H. 3469,Dumping Litter - Penalty Increase,Rep. Collins,Referred to Committee on Ways and Means
H. 3470,Firearms,"Reps. Guffey, G. M. Smith, W. Newton and Bradley",Referred to Committee on Education and Public Works
H. 3471,Campaign sign removal,Rep. McCabe,Referred to Committee on Judiciary
H. 3472,Primaries,Rep. McCabe,Referred to Committee on Judiciary
H. 3473,Political parties and primaries,Rep. Stavrinakis,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3474,Campaign contribution limits,Rep. Stavrinakis,"Referred to Committee on Labor, Commerce and Industry"
H. 3475,Poll worker pay,Rep. Beach,Referred to Committee on Judiciary
H. 3476,"Homicide, fentanyl-induced","Reps. Caskey, Bannister, G. M. Smith, B. Newton, Hewitt and Long",Referred to Committee on Education and Public Works
H. 3477,"Search warrants, electronic data",Rep. Garvin,Referred to Committee on Ways and Means
H. 3478,Safe Water Act,Rep. Garvin,Referred to Committee on Education and Public Works
H. 3479,Long-Term Care Facilities,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3480,Community Violence Intervention and Prevention Act,Rep. McDaniel,Referred to Committee on Judiciary
H. 3481,Child Custody,Rep. McDaniel,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3482,South Carolinians with Disabilities Economic Development Trust Fund,Rep. McDaniel,Referred to Committee on Education and Public Works
H. 3483,Nicotine,Rep. McDaniel,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3484,Orders of Protection,Rep. McDaniel,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3485,Families' Rights and Responsibilities Act,Rep. McDaniel,Referred to Committee on Judiciary
H. 3486,South Carolina Compassionate Care Act,Rep. Stavrinakis,Referred to Committee on Education and Public Works
H. 3487,Midwives,Rep. Stavrinakis,Referred to Committee on Judiciary
H. 3488,Religious Freedom of Marriage Act,Rep. Ballentine,Referred to Committee on Education and Public Works
H. 3489,Midwives,Reps. Bernstein and Stavrinakis,Referred to Committee on Ways and Means
H. 3490,Abortion,Rep. Cobb-Hunter,Referred to Committee on Ways and Means
H. 3491,Authorized emergency vehicles,Rep. Cobb-Hunter,Referred to Committee on Judiciary
H. 3492,Local Government Fund,Rep. Jones,Referred to Committee on Ways and Means
H. 3493,Coastal Structural Stability Study Committee,Rep. McDaniel,Referred to Committee on Ways and Means
H. 3494,Appropriations,Rep. McDaniel,Referred to Committee on Judiciary
H. 3495,Prohibit law enforcement from acquiring military style equipment from federal government,Rep. McDaniel,Referred to Committee on Judiciary
H. 3496,Law enforcement officer certification,Rep. W. Newton,Referred to Committee on Ways and Means
H. 3497,Uniform Limited Partnership,Rep. Pace,Referred to Committee on Judiciary
H. 3498,Water Quality,Rep. Pace,Referred to Committee on Ways and Means
H. 3499,Water Quality,Rep. Rutherford,Referred to Committee on Ways and Means
H. 3500,Deed and Mortgage Derivation Clauses,Rep. Stavrinakis,Referred to Committee on Ways and Means
H. 3501,Uniform Athlete Agents Act,"Reps. Bannister, Rutherford, Caskey, Erickson, Weeks and Davis",Referred to Committee on Judiciary
H. 3502,Property tax exemption,Rep. Bustos,Referred to Committee on Judiciary
H. 3503,Trafficking in Fentanyl,Rep. Edgerton,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3504,Healthy Foods Tax Credit,Rep. Edgerton,Referred to Committee on Judiciary
H. 3505,Blue catfish,Rep. T. Moore,Referred to Committee on Judiciary
H. 3506,International Human Rights and Relations,Rep. Stavrinakis,Referred to Committee on Judiciary
H. 3507,Calibogue Skyline Park,"Reps. Brewer, Murphy and Robbins",Referred to Committee on Judiciary
H. 3508,Jurisdiction,Rep. Chumley,Referred to Committee on Judiciary
H. 3509,"Investments, authorized for political subdivision",Rep. Gilliam,Referred to Committee on Judiciary
H. 3510,Prohibition of incentives,Reps. Pope and Robbins,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3511,Property tax,Rep. Stavrinakis,Referred to Committee on Ways and Means
H. 3512,Foreclosure,Rep. Stavrinakis,Referred to Committee on Ways and Means
H. 3513,Taxation,Rep. Wooten,Referred to Committee on Ways and Means
H. 3514,SC Equine Advancement Act,Rep. Beach,Referred to Committee on Ways and Means
H. 3515,Entrepreneur Freedom Act,Rep. Burns,Referred to Committee on Education and Public Works
H. 3516,Maintenance of private roads,Rep. J. L. Johnson,Referred to Committee on Education and Public Works
H. 3517,Feminine hygiene products,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3518,Motor vehicle financial responsibility,Rep. Pope,Referred to Committee on Judiciary
H. 3519,Utility Terrain Vehicles,Rep. Bustos,Referred to Committee on Judiciary
H. 3520,Early release of an inmate,Reps. Caskey and Calhoon,Referred to Committee on Judiciary
H. 3521,Emergency scene management,"Reps. Caskey, Pope and Gilliam",Referred to Committee on Judiciary
H. 3522,Concealed weapons permits,Reps. J. E. Johnson and W. Newton,Referred to Committee on Judiciary
H. 3523,Fallen First Responders Survivor Advocate position created,Rep. J. E. Johnson,Referred to Committee on Judiciary
H. 3524,Roll back taxes,Rep. J. E. Johnson,Referred to Committee on Judiciary
H. 3525,Prohibition on investments,Rep. Magnuson,Referred to Committee on Judiciary
H. 3526,Elimination of individual income tax,"Reps. Magnuson, Pace and Cromer",Referred to Committee on Judiciary
H. 3527,Income tax brackets,"Reps. Magnuson, Pace and Cromer",Referred to Committee on Rules
H. 3528,Small business tax credits,"Reps. W. Newton, Bannister and Caskey",Referred to Committee on Rules
H. 3529,"Constitutional amendment, Judicial Department",Reps. W. Newton and Pope,Referred to Committee on Judiciary
H. 3530,"Tasers, law enforcement policies",Reps. Pope and Gilliam,Referred to Committee on Judiciary
H. 3531,Jamal Sutherland Justice Act,Reps. Pope and Gilliam,Referred to Committee on Judiciary
H. 3532,Bond Reform,Reps. Pope and Gilliam,Referred to Committee on Judiciary
H. 3533,Citizen's arrest,Rep. M. M. Smith,Referred to Committee on Judiciary
H. 3534,Sexual Assault Survivors' Bill of Rights Act,"Reps. Wooten, Pope, Hixon, Gilliam, Robbins and Bailey",Referred to Committee on Judiciary
H. 3535,"Judicial Merit Selection Commission, magistrate screening",Rep. Taylor,Referred to Committee on Judiciary
H. 3536,Covid-19 Vaccination,"Reps. Harris, Magnuson, Chumley, Burns, Long and Kilmartin",Referred to Committee on Judiciary
H. 3537,Pharmacy Benefits Manager,Rep. Williams,Referred to Committee on Judiciary
H. 3538,Harvest reporting,Rep. Williams,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3539,Executive Orders,Rep. Williams,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3540,Black Farmer Restoration Program,Rep. Williams,Referred to Committee on Ways and Means
H. 3541,Excessive Force,Rep. Williams,"Referred to Committee on Labor, Commerce and Industry"
H. 3542,Reverend Ike Intersection,Rep. Williams,Referred to Committee on Ways and Means
H. 3543,Law Enforcement Officers Helping Alleviate Lawful Obstruction Act,Rep. Williams,"Referred to Committee on Labor, Commerce and Industry"
H. 3544,SLED,Rep. Williams,Referred to Committee on Judiciary
H. 3545,Body camera,Rep. Williams,"Referred to Committee on Labor, Commerce and Industry"
H. 3546,Wrongful convictions,Rep. Cobb-Hunter,"Referred to Committee on Labor, Commerce and Industry"
H. 3547,Social Media,Rep. Williams,Referred to Committee on Education and Public Works
H. 3548,Youth Access to Nicotine,Rep. Williams,Referred to Committee on Judiciary
H. 3549,South Carolina Prenatal Equal Protection Act of 2023,Rep. Williams,Referred to Committee on Judiciary
H. 3550,Foster Care,Reps. B. Newton and Gilliam,Referred to Committee on Education and Public Works
H. 3551,South Carolina Vulnerable Child Compassion and Protection Act,Rep. B. Newton,Referred to Committee on Ways and Means
H. 3552,Human Life Protection Act,Reps. B. Newton and Wetmore,Referred to Committee on Judiciary
H. 3553,Adoption,Rep. B. Newton,Referred to Committee on Ways and Means
H. 3554,Adoption,Rep. B. Newton,Referred to Committee on Judiciary
H. 3555,Permanency Planning,Rep. B. Newton,Referred to Committee on Judiciary
H. 3556,Infant Safe Havens,Rep. B. Newton,Referred to Committee on Judiciary
H. 3557,Abandonment of a Child,Rep. Taylor,Referred to Committee on Judiciary
H. 3558,Safety Plans and Relative Placements,Rep. Williams,Referred to Committee on Judiciary
H. 3559,Controlled Substances,"Reps. Brewer, Murphy and Robbins",Referred to Committee on Judiciary
H. 3560,Red Flags,Reps. Pope and Gilliam,Referred to Committee on Education and Public Works
H. 3561,Marijuana,Rep. Collins,Referred to Committee on Education and Public Works
H. 3562,Medicaid,,Referred to Committee on Education and Public Works
